,Florida,California,Texas,New York,Massachusetts,New Jersey,Arizona,Colorado,Missouri
2012-10-01,136509.81559071233,296006.5338249156,141228.04319572437,256835.405206127,304460.7313969996,279925.6331202826,158210.39806531367,230014.77966240948,127422.86785319273
2012-11-01,137591.1619975262,300843.530087712,141606.70936216824,256819.9031307126,305437.92235137324,280203.0253479236,160642.57859847436,231967.17432874927,127390.96630848567
2012-12-01,139032.33873447357,305991.73084007646,141986.7730966472,256793.6510315586,306962.5997523837,280532.00921902293,162615.066430627,233691.831383994,127322.96477089653
2013-01-01,140680.58948064948,310868.373660766,142517.3605087135,257204.8933201045,308898.55953652284,281106.13273489894,164436.80044325299,235449.51808815426,127303.58406512935
2013-02-01,142363.25522699964,315183.9870905092,143191.62201148225,257888.85193910368,311034.5223175921,281665.68783774425,166157.80058137243,237097.0990962763,127387.35136519413
2013-03-01,144080.37105146403,318891.1260915673,143990.70477813148,258694.30619172842,312438.9435670041,282103.2345452146,168112.77841105542,238395.79789500532,127506.95211572478
2013-04-01,145848.9300785466,323255.08357821195,144749.32531838774,259454.84212535204,313720.9293559825,282608.1202567268,170480.93154262123,239546.94802100878,127809.38739401777
2013-05-01,147843.70184476415,329216.312103817,145615.16538942046,260316.0368415031,315160.9762259754,283477.32894628803,173264.63909505223,240867.158342084,128237.01299193689
2013-06-01,149798.4172899688,336429.92283364735,146648.34121964982,261512.48202205903,317320.31721232965,284510.0241030828,176186.70941531626,242637.64511897962,128832.8602813164
2013-07-01,151676.10383052262,343655.9928779561,147639.88024561026,262704.671797089,319591.87718407594,285674.7861440487,178994.10690283202,244687.17138422374,129486.95022640745
2013-08-01,153468.81684023375,350567.55779640866,148601.14117194296,263775.31134508696,321629.0913102555,287040.7817550059,181657.1494700385,246814.69118731908,130355.78012480382
2013-09-01,155211.0339759245,357340.8173505319,149351.4182267919,264549.40386612853,323469.3610687182,288639.8724169409,184086.62732623066,248863.68132652456,131109.6833878677
2013-10-01,157050.44625466687,364030.4550734346,150206.9004523372,265371.081311054,325372.5357066188,290227.40540933004,186255.08366349095,250818.53453621574,131838.77157915093
2013-11-01,158675.08695774231,369641.7566880013,150990.5149652765,266051.9550790907,327244.47962376167,291126.73901018687,187890.97215312332,252511.4265346798,132095.3551566623
2013-12-01,160332.66409880435,374161.7551880048,151869.6137369882,266511.82726952253,329191.6407339859,291814.7833672654,189070.3881363247,254066.05352812665,132130.48352655888
2014-01-01,161910.39664288398,377433.23486401,152902.07256940464,266906.97266457375,331044.0571219458,292763.1780929717,190273.6912308494,255368.32743537604,132041.92084628294
2014-02-01,163610.68934901638,380137.94164767297,154067.50631478493,267448.3113358036,332700.5039838161,294461.47948927147,191556.41650211182,256698.5492343442,132039.92293174134
2014-03-01,165205.26510726652,382597.7191295132,155243.22584600843,268442.31030090805,334170.5442361449,296679.2788155841,192851.24593713638,257964.27913597864,132139.02732350572
2014-04-01,166625.26822949052,385597.56126522535,156265.22825557695,269599.31645303057,335714.4464561893,298850.9983670508,193821.74760699473,259417.1894942643,132401.4773970167
2014-05-01,168025.872154924,388798.7044995954,157300.49228388525,270974.77547952236,337483.4836383504,300910.71859942604,194610.1092474442,260982.789514338,132974.83630029229
2014-06-01,169186.55369143005,391434.89913658676,158351.57512544584,271923.5254635816,338841.7790917262,302133.1590113488,195171.46712535576,262575.2450923172,133709.72514855667
